age,income,type
56,136354,fake
51,97533,fake
31,121643,fake
25,112962,fake
22,135689,fake
32,58994,fake
45,128623,fake
45,33582,fake
42,106264,fake
43,97069,fake
37,22024,fake
43,41333,fake
48,125574,fake
29,147415,fake
26,124757,fake
54,119738,fake
52,46606,fake
52,127683,fake
45,65932,fake
48,71068,fake
34,146586,fake
51,29225,fake
61,107359,fake
58,110880,fake
61,114232,fake
25,99350,fake
54,36476,fake
63,15189,fake
61,134191,fake
52,72033,fake
30,80724,fake
40,126898,fake
48,34981,fake
65,142524,fake
58,112737,fake
26,49214,fake
28,125286,fake
41,109258,fake
63,49574,fake
52,129605,fake
52,31766,fake
52,133443,fake
55,22917,fake
60,58682,fake
45,49044,fake
27,44846,fake
56,74688,fake
64,31129,fake
35,134234,fake
57,55104,fake
52,73466,fake
24,126688,fake
65,31255,fake
53,133839,fake
19,107207,fake
47,142024,fake
44,65260,fake
22,67116,fake
43,125181,fake
21,137734,fake
34,120024,fake
52,44597,fake
62,26129,fake
59,101996,fake
29,57430,fake
30,97760,fake
57,110383,fake
59,58443,fake
58,95933,fake
39,104414,fake
19,126273,fake
22,66991,fake
37,87702,fake
55,40745,fake
29,28890,fake
57,88053,fake
26,91244,fake
26,90265,fake
45,24477,fake
63,101307,fake
56,72815,fake
34,81635,fake
55,148659,fake
18,60650,fake
33,89587,fake
33,61874,fake
56,91584,fake
51,100660,fake
25,114400,fake
28,95659,fake
27,49320,fake
44,40470,fake
62,53347,fake
31,46225,fake
23,67825,fake
45,141933,fake
34,27894,fake
30,81762,fake
30,47427,fake
42,145321,fake
59,89335,fake
59,76039,fake
21,137693,fake
23,34952,fake
62,73664,fake
19,113968,fake
30,93826,fake
33,118987,fake
55,38803,fake
49,68523,fake
51,101238,fake
42,142517,fake
18,129697,fake
44,60112,fake
61,128881,fake
44,46604,fake
52,64267,fake
51,98024,fake
49,46999,fake
23,130243,fake
62,69374,fake
44,86894,fake
52,74867,fake
55,100749,fake
63,81178,fake
50,21675,fake
64,61969,fake
34,60266,fake
52,117592,fake
25,44790,fake
63,129327,fake
24,123874,fake
20,36958,fake
24,53144,fake
44,84753,fake
57,104978,fake
53,121575,fake
37,17521,fake
54,120177,fake
46,121911,fake
40,25995,fake
21,117397,fake
60,73967,fake
22,15842,fake
19,98795,fake
64,63354,fake
45,95128,fake
41,142725,fake
53,44982,fake
56,87997,fake
48,103113,fake
58,103300,fake
25,57834,fake
18,85508,fake
58,131202,fake
48,39557,fake
49,59791,fake
36,72568,fake
45,98200,fake
25,103849,fake
21,52398,fake
19,38075,fake
39,101143,fake
59,63214,fake
60,73551,fake
27,118929,fake
25,115801,fake
34,139535,fake
50,143695,fake
61,129586,fake
58,96682,fake
35,112661,fake
21,46253,fake
49,52999,fake
61,59314,fake
61,51278,fake
23,112334,fake
31,48827,fake
54,125510,fake
31,108698,fake
47,60564,fake
40,98712,fake
21,23562,fake
59,68753,fake
62,62280,fake
42,93303,fake
56,77138,fake
32,54841,fake
54,30133,fake
63,64530,fake
27,54291,fake
21,80974,fake
28,76146,fake
38,84664,fake
59,110652,fake
28,115909,fake
52,146825,fake
50,29222,fake
49,51405,fake
28,138849,fake
62,26296,fake
58,36054,fake
52,39637,fake
39,38101,fake
63,99140,fake
