age,income
56,136354
51,97533
31,121643
25,112962
22,135689
32,58994
45,128623
45,33582
42,106264
43,97069
37,22024
43,41333
48,125574
29,147415
26,124757
54,119738
52,46606
52,127683
45,65932
48,71068
34,146586
51,29225
61,107359
58,110880
61,114232
25,99350
54,36476
63,15189
61,134191
52,72033
30,80724
40,126898
48,34981
65,142524
58,112737
26,49214
28,125286
41,109258
63,49574
52,129605
52,31766
52,133443
55,22917
60,58682
45,49044
27,44846
56,74688
64,31129
35,134234
57,55104
52,73466
24,126688
65,31255
53,133839
19,107207
47,142024
44,65260
22,67116
43,125181
21,137734
34,120024
52,44597
62,26129
59,101996
29,57430
30,97760
57,110383
59,58443
58,95933
39,104414
19,126273
22,66991
37,87702
55,40745
29,28890
57,88053
26,91244
26,90265
45,24477
63,101307
56,72815
34,81635
55,148659
18,60650
33,89587
33,61874
56,91584
51,100660
25,114400
28,95659
27,49320
44,40470
62,53347
31,46225
23,67825
45,141933
34,27894
30,81762
30,47427
42,145321
59,89335
59,76039
21,137693
23,34952
62,73664
19,113968
30,93826
33,118987
55,38803
49,68523
51,101238
42,142517
18,129697
44,60112
61,128881
44,46604
52,64267
51,98024
49,46999
23,130243
62,69374
44,86894
52,74867
55,100749
63,81178
50,21675
64,61969
34,60266
52,117592
25,44790
63,129327
24,123874
20,36958
24,53144
44,84753
57,104978
53,121575
37,17521
54,120177
46,121911
40,25995
21,117397
60,73967
22,15842
19,98795
64,63354
45,95128
41,142725
53,44982
56,87997
48,103113
58,103300
25,57834
18,85508
58,131202
48,39557
49,59791
36,72568
45,98200
25,103849
21,52398
19,38075
39,101143
59,63214
60,73551
27,118929
25,115801
34,139535
50,143695
61,129586
58,96682
35,112661
21,46253
49,52999
61,59314
61,51278
23,112334
31,48827
54,125510
31,108698
47,60564
40,98712
21,23562
59,68753
62,62280
42,93303
56,77138
32,54841
54,30133
63,64530
27,54291
21,80974
28,76146
38,84664
59,110652
28,115909
52,146825
50,29222
49,51405
28,138849
62,26296
58,36054
52,39637
39,38101
63,99140
49,99589
53,31692
23,37653
21,25219
57,45630
18,23465
30,66625
27,114772
60,125313
58,80027
28,121933
43,101480
65,120568
47,45452
26,138465
26,31917
53,60260
58,149156
53,112896
45,19972
27,106134
41,127479
36,55065
30,144010
27,48856
46,69553
21,57904
52,47960
41,149025
51,109408
54,148112
46,87009
39,103572
60,103410
50,122650
59,137251
39,74583
49,45632
49,37025
56,89500
60,95976
39,141823
27,111617
37,36233
33,38651
57,93286
49,140235
59,73383
34,90135
59,91132
53,108267
48,90773
20,90468
40,52153
61,135231
61,97902
25,65791
18,86370
18,122219
23,24917
61,118468
45,94438
42,99386
47,54242
65,128115
45,78472
46,22260
65,76835
27,90847
46,36128
62,88971
59,119364
59,24396
31,61201
55,78749
41,134774
27,134533
36,119936
36,117269
18,117098
61,66230
57,106414
37,29058
64,141962
37,57527
34,130768
56,149991
48,24709
61,119355
59,112181
29,54691
22,28927
33,44432
51,111478
28,63309
53,53041
45,145738
32,92316
45,62681
63,73592
33,111697
38,120151
62,71774
27,118703
52,147150
38,42223
48,24420
50,144784
64,16074
18,20457
29,72802
48,90600
32,35224
59,126683
44,102435
44,89768
35,90642
44,121638
45,99508
32,116527
20,128395
63,54103
21,89602
56,62124
44,44069
42,125193
18,110255
32,140317
42,119002
46,125885
51,96956
38,114834
60,58333
55,93200
20,31102
26,27593
24,148382
34,17297
47,98573
37,67064
49,71176
26,136553
65,72872
34,116679
65,52403
39,29240
40,129282
59,73952
31,46782
39,111489
18,121753
57,112958
55,104641
56,97369
42,117525
18,53158
49,32840
24,19810
35,57703
58,39744
24,43472
25,142918
55,91373
29,143495
48,115358
65,71109
30,54575
64,38936
50,63899
19,107948
35,102969
47,80929
61,34021
58,99380
55,77745
46,104524
40,138624
26,143237
45,108938
33,148684
49,34270
40,119817
43,80314
54,97147
53,25377
64,36879
29,39007
35,126859
60,80855
49,69974
19,26018
41,123795
18,58260
45,25873
25,136461
61,107291
45,131158
24,59793
25,24186
25,129283
28,129163
61,117599
29,47616
58,81772
56,115605
38,32829
65,110622
36,49200
25,63710
35,70190
40,141214
38,96337
53,96374
50,91725
56,67282
57,88499
60,108868
56,39146
51,32862
44,116774
54,131949
34,56784
43,76858
34,61718
31,32341
39,100797
48,58676
34,97293
53,27822
64,70114
65,101048
56,55637
35,65623
31,148360
39,102706
44,119085
32,61741
18,27232
55,67922
60,129756
35,61180
18,76403
40,65163
40,49254
25,131458
45,109435
25,18828
56,43752
53,104349
37,55484
54,108013
39,142182
23,133090
64,97558
58,76329
24,65574
60,101063
43,149653
48,121789
41,100922
65,49173
37,61404
53,43761
63,144322
49,147426
56,53405
30,80880
63,93315
29,65471
61,61924
19,147932
64,82129
22,145657
44,69800
23,126770
57,128689
43,26625
54,39795
64,126001
50,114118
23,85566
39,48592
63,96020
58,130454
26,38215
35,143304
20,85570
49,120493
26,30731
64,42507
30,85969
36,67061
19,64642
34,97509
61,95183
44,99797
49,142082
32,74654
55,144107
54,16624
42,132438
47,122702
32,26793
23,50489
45,109356
48,126102
25,68406
20,127464
31,54165
18,148421
54,15648
48,76858
23,27083
46,125525
49,107374
35,33409
38,91173
63,131322
40,93392
38,50623
65,50620
57,90331
55,46921
62,45364
64,47198
48,107287
60,100504
35,107523
50,118634
42,40133
33,20867
63,17715
27,115458
63,120760
39,128340
27,62845
29,38623
39,55384
53,64063
43,32599
40,36946
33,18272
28,109762
63,78022
30,90064
55,104480
47,94989
26,37522
32,25484
58,109236
40,73657
53,90798
55,124567
25,89961
38,114772
57,111009
36,128728
21,100476
65,111669
42,142823
21,129651
61,123481
21,46470
21,50356
26,23471
23,43840
40,92395
41,30187
55,100161
41,65590
65,135239
60,100488
24,112615
22,15866
33,67705
27,49083
22,124832
52,62722
32,17203
53,63058
53,120599
20,106563
59,43252
26,43461
33,54168
46,126958
21,42746
25,145220
19,59645
40,38702
61,23535
39,23988
49,94215
33,44182
47,89540
27,87724
18,50268
52,44348
21,127642
33,54323
37,106646
36,104837
25,105098
33,23832
52,74752
30,78680
19,26032
34,135948
34,46024
52,104153
61,100960
35,72680
53,87751
64,59727
34,74363
45,76156
40,45419
28,100165
44,103856
37,26768
53,65612
35,96056
21,123972
64,48627
35,130469
48,74609
65,60371
54,51691
26,88911
18,137722
45,127360
21,95951
24,39597
21,45624
26,132870
36,140984
19,49445
43,74502
49,105717
33,102662
61,24920
47,114185
24,112847
29,86197
59,85780
23,31645
36,137245
37,117280
56,132732
33,29113
55,31149
40,37034
51,114180
59,96168
43,77130
34,35966
50,16912
48,141032
43,146922
42,142366
20,31602
37,37954
59,69149
36,63818
30,51323
25,126639
18,16476
39,132715
21,37607
22,57219
18,122469
40,123333
61,53823
30,96525
43,23100
42,107143
26,128237
37,36254
43,72448
32,96323
35,124632
46,143340
32,19844
61,37422
18,123567
29,17491
29,46142
30,48494
25,140892
37,88049
32,138023
41,114355
40,102569
61,110458
46,33938
33,44085
58,43769
39,129026
59,143947
53,141159
41,62618
54,106810
63,134291
40,142709
63,56570
63,126976
55,98722
33,27307
33,90956
48,127715
36,112812
23,128358
47,22829
21,60429
30,15571
36,38689
37,128393
21,146934
31,77605
33,123829
28,129137
49,82769
31,74273
61,127504
39,48951
26,97842
39,146472
56,27225
52,44110
21,125569
43,113214
20,81470
52,55073
53,95080
48,141412
41,117754
30,69889
58,124041
62,58718
43,149427
60,51429
39,96943
56,91491
32,35201
38,78712
39,119640
53,36580
28,18286
24,50433
50,18057
34,145523
42,145116
45,85405
43,58536
33,97683
22,39122
54,40474
57,52184
56,99320
65,43211
65,15007
39,72102
33,26219
51,115105
48,144032
59,72810
57,134247
49,75008
56,80785
23,43091
48,109059
19,120741
38,68930
25,134908
46,42333
47,115789
33,144174
38,59296
36,127329
19,16747
61,30403
53,92942
51,149694
44,62818
38,121809
37,142001
44,16732
60,27953
42,68070
44,58976
59,64957
32,22919
24,24061
55,86546
55,73153
64,89311
20,15533
45,38434
28,86193
37,140974
43,54055
64,56334
18,74759
43,97756
19,89498
30,144387
61,73055
19,36009
57,76503
59,119121
55,137975
27,87204
21,97428
30,45530
40,134145
54,53857
24,119818
19,54028
55,129386
53,92692
49,145100
38,55196
26,75980
57,51989
28,57500
54,86217
31,122533
55,108136
62,96094
44,20846
58,34450
55,88838
45,95608
29,113811
55,142850
55,67435
42,142716
44,29044
22,72913
33,23176
22,53853
33,136829
65,92367
52,51196
23,16864
24,34525
25,21122
42,131549
40,15964
36,84065
23,131441
47,130859
41,31183
42,107206
23,85000
62,61555
24,87724
28,103510
58,128287
18,132726
61,20838
65,36050
26,120723
65,74007
47,131343
45,16988
35,127428
41,97338
25,137067
34,86219
45,116249
45,143142
19,37311
47,104986
26,46188
53,68278
