impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,type
365.0,4.0,0.010958904,0.0,0,1.0,2.0,0,0,1,0,0,0,0,0,0,0.0,0.0,fake
184.0,2.0,0.010869565,0.0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
2644.0,46.0,0.017397882,1.0,1,17.0,0.0,3,0,23,0,0,0,0,0,0,354.0,1.0,fake
301.0,3.0,0.009966777,0.0,1,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
528.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
962.0,37.0,0.038461538,0.0,2,7.0,6.0,0,3,19,0,0,0,0,0,0,0.0,0.0,fake
198.0,4.0,0.02020202,0.0,0,1.0,1.0,0,0,2,0,0,0,0,0,0,0.0,0.0,fake
1298.0,28.0,0.021571649,0.0,2,3.0,0.0,0,3,20,0,0,0,0,0,0,0.0,0.0,fake
160.0,3.0,0.01875,0.0,1,1.0,0.0,0,0,1,0,0,0,0,0,0,27.0,0.0,fake
1080.0,25.0,0.023148148,0.0,2,7.0,0.0,2,2,9,0,0,0,0,0,0,191.0,3.0,fake
477.0,19.0,0.039832285,0.0,0,1.0,0.0,0,1,4,0,0,0,0,0,0,13.0,13.0,fake
295.0,5.0,0.016949153,0.0,1,2.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,fake
77.0,2.0,0.025974026,0.0,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
185.0,7.0,0.037837838,0.0,0,1.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0.0,fake
854.0,16.0,0.018735363,0.0,2,3.0,2.0,0,5,4,0,0,0,0,0,0,0.0,0.0,fake
289.0,4.0,0.01384083,0.0,1,2.0,0.0,1,0,0,0,0,0,0,0,0,56.0,0.0,fake
1449.0,65.0,0.044858523,0.0,1,19.0,4.0,3,1,3,0,0,0,0,0,0,34.0,34.0,fake
37.0,2.0,0.054054054,0.0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,fake
63.0,1.0,0.015873016,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
50.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
104.0,2.0,0.019230769,0.0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
170.0,4.0,0.023529412,0.0,0,3.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,fake
925.0,21.0,0.022702703,0.0,1,7.0,2.0,0,6,5,0,0,0,0,0,0,0.0,0.0,fake
253.0,28.0,0.110671937,0.0,1,3.0,0.0,0,3,2,0,0,0,0,0,0,19.0,19.0,fake
52.0,3.0,0.057692308,0.0,0,3.0,0.0,0,0,0,0,0,0,0,0,0,12.0,0.0,fake
65.0,5.0,0.076923077,0.0,2,3.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
215.0,5.0,0.023255814,0.0,0,4.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,fake
172.0,10.0,0.058139535,0.0,1,2.0,5.0,0,0,2,0,0,0,0,0,0,0.0,0.0,fake
792.0,37.0,0.046717172,1.0,0,16.0,2.0,0,7,8,0,0,0,0,0,0,196.0,3.0,fake
117.0,3.0,0.025641026,0.0,0,3.0,0.0,0,0,0,0,0,0,0,0,0,20.0,0.0,fake
604.0,21.0,0.034768212,0.0,0,5.0,0.0,0,2,0,0,0,0,0,0,0,14.0,14.0,fake
593.0,18.0,0.030354132,0.0,0,10.0,4.0,0,4,0,0,0,0,0,0,0,113.0,0.0,fake
657.0,3.0,0.00456621,0.0,0,1.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,fake
436.0,12.0,0.027522936,0.0,2,9.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,fake
2685.0,19.0,0.00707635,0.0,3,4.0,0.0,0,0,12,0,0,0,0,0,0,0.0,0.0,fake
98.0,1.0,0.010204082,0.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,fake
542.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
345.0,14.0,0.04057971,0.0,1,0.0,2.0,9,0,2,0,0,0,0,0,0,0.0,0.0,fake
782.0,130.0,0.166240409,0.0,2,1.0,1.0,2,0,10,0,0,0,0,0,0,114.0,114.0,fake
502.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
250.0,1.0,0.004,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
486.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
280.0,5.0,0.017857143,0.0,1,1.0,0.0,0,0,3,0,0,0,0,0,0,0.0,0.0,fake
2739.0,50.0,0.018254838,3.0,1,10.0,3.0,0,0,11,0,0,0,0,0,0,820.0,22.0,fake
121.0,4.0,0.033057851,0.0,0,4.0,0.0,0,0,0,0,0,0,0,0,0,31.0,0.0,fake
234.0,2.0,0.008547009,0.0,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
1195.0,41.0,0.034309623,4.0,0,8.0,2.0,9,1,8,0,0,0,0,0,0,9.0,9.0,fake
68.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,13.0,0.0,fake
319.0,10.0,0.031347962,0.0,0,7.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
320.0,7.0,0.021875,0.0,1,1.0,1.0,0,0,4,0,0,0,0,0,0,0.0,0.0,fake
134.0,8.0,0.059701493,0.0,1,5.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,fake
153.0,2.0,0.013071895,0.0,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
1925.0,239.0,0.124155844,3.0,1,10.0,1.0,1,0,23,0,0,0,0,0,0,200.0,200.0,fake
257.0,1.0,0.003891051,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
325.0,6.0,0.018461538,0.0,0,4.0,0.0,0,0,0,0,0,0,0,0,0,73.0,2.0,fake
765.0,11.0,0.014379085,0.0,1,5.0,1.0,0,0,4,0,0,0,0,0,0,110.0,0.0,fake
236.0,14.0,0.059322034,0.0,0,2.0,0.0,0,0,12,0,0,0,0,0,0,0.0,0.0,fake
151.0,2.0,0.013245033,0.0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,fake
5.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
287.0,12.0,0.041811847,0.0,0,5.0,0.0,0,0,6,0,0,0,0,0,0,38.0,1.0,fake
22.0,2.0,0.090909091,0.0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
2408.0,40.0,0.016611296,0.0,2,15.0,2.0,0,0,21,0,0,0,0,0,0,0.0,0.0,fake
551.0,1.0,0.001814882,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
225.0,8.0,0.035555556,0.0,1,3.0,0.0,0,0,4,0,0,0,0,0,0,0.0,0.0,fake
171.0,5.0,0.029239766,0.0,1,1.0,0.0,0,0,1,0,0,0,0,0,0,47.0,2.0,fake
110.0,7.0,0.063636364,0.0,1,1.0,3.0,2,0,0,0,0,0,0,0,0,0.0,0.0,fake
866.0,194.0,0.224018476,0.0,0,18.0,2.0,1,0,13,0,0,0,0,0,0,160.0,160.0,fake
11496.0,1065.0,0.092640919,1.0,6,37.0,37.0,4,4,78,0,0,0,0,0,0,898.0,898.0,fake
1073.0,91.0,0.084808947,0.0,0,12.0,3.0,15,3,1,0,0,0,0,0,0,57.0,57.0,fake
276.0,4.0,0.014492754,0.0,1,2.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,fake
56.0,3.0,0.053571429,0.0,1,1.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,fake
131.0,4.0,0.030534351,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,27.0,3.0,fake
161.0,4.0,0.02484472,0.0,0,1.0,1.0,0,0,2,0,0,0,0,0,0,0.0,0.0,fake
316.0,8.0,0.025316456,0.0,1,2.0,1.0,0,0,4,0,0,0,0,0,0,0.0,0.0,fake
449.0,9.0,0.020044543,0.0,1,4.0,0.0,0,0,4,0,0,0,0,0,0,0.0,0.0,fake
1244.0,38.0,0.030546624,1.0,3,4.0,4.0,0,2,21,0,0,0,0,0,0,236.0,3.0,fake
329.0,7.0,0.021276596,0.0,0,2.0,0.0,0,0,3,0,0,0,0,0,0,47.0,2.0,fake
381.0,18.0,0.047244094,0.0,0,1.0,1.0,14,0,2,0,0,0,0,0,0,0.0,0.0,fake
308.0,2.0,0.006493506,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,77.0,0.0,fake
117.0,3.0,0.025641026,0.0,0,1.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,fake
28.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
307.0,12.0,0.039087948,0.0,2,2.0,1.0,1,0,6,0,0,0,0,0,0,102.0,0.0,fake
477.0,6.0,0.012578616,0.0,0,2.0,1.0,0,0,1,0,0,0,0,0,0,194.0,2.0,fake
585.0,13.0,0.022222222,0.0,0,7.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0.0,fake
1592.0,217.0,0.136306533,1.0,3,3.0,2.0,0,0,80,0,0,0,0,0,0,128.0,128.0,fake
676.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
870.0,3.0,0.003448276,0.0,1,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
171.0,6.0,0.035087719,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,40.0,6.0,fake
537.0,9.0,0.016759777,0.0,0,2.0,0.0,0,0,7,0,0,0,0,0,0,0.0,0.0,fake
206.0,2.0,0.009708738,0.0,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
551.0,3.0,0.005444646,0.0,1,1.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,fake
1140.0,14.0,0.012280702,0.0,0,10.0,4.0,0,0,0,0,0,0,0,0,0,0.0,0.0,fake
197.0,4.0,0.020304569,0.0,0,2.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,fake
