impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
365.0,4.0,0.010958904,0.0,0,1.0,2.0,0,0,1,0,0,0,0,0,0,0.0,0.0
184.0,2.0,0.010869565,0.0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
2644.0,46.0,0.017397882,1.0,1,17.0,0.0,3,0,23,0,0,0,0,0,0,354.0,1.0
301.0,3.0,0.009966777,0.0,1,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
528.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
962.0,37.0,0.038461538,0.0,2,7.0,6.0,0,3,19,0,0,0,0,0,0,0.0,0.0
198.0,4.0,0.02020202,0.0,0,1.0,1.0,0,0,2,0,0,0,0,0,0,0.0,0.0
1298.0,28.0,0.021571649,0.0,2,3.0,0.0,0,3,20,0,0,0,0,0,0,0.0,0.0
160.0,3.0,0.01875,0.0,1,1.0,0.0,0,0,1,0,0,0,0,0,0,27.0,0.0
1080.0,25.0,0.023148148,0.0,2,7.0,0.0,2,2,9,0,0,0,0,0,0,191.0,3.0
477.0,19.0,0.039832285,0.0,0,1.0,0.0,0,1,4,0,0,0,0,0,0,13.0,13.0
295.0,5.0,0.016949153,0.0,1,2.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0
77.0,2.0,0.025974026,0.0,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
185.0,7.0,0.037837838,0.0,0,1.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0.0
854.0,16.0,0.018735363,0.0,2,3.0,2.0,0,5,4,0,0,0,0,0,0,0.0,0.0
289.0,4.0,0.01384083,0.0,1,2.0,0.0,1,0,0,0,0,0,0,0,0,56.0,0.0
1449.0,65.0,0.044858523,0.0,1,19.0,4.0,3,1,3,0,0,0,0,0,0,34.0,34.0
37.0,2.0,0.054054054,0.0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0
63.0,1.0,0.015873016,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
50.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
104.0,2.0,0.019230769,0.0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
170.0,4.0,0.023529412,0.0,0,3.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0
925.0,21.0,0.022702703,0.0,1,7.0,2.0,0,6,5,0,0,0,0,0,0,0.0,0.0
253.0,28.0,0.110671937,0.0,1,3.0,0.0,0,3,2,0,0,0,0,0,0,19.0,19.0
52.0,3.0,0.057692308,0.0,0,3.0,0.0,0,0,0,0,0,0,0,0,0,12.0,0.0
