Avg Room Rate,stay_duration,adults,children,type
71.1,13,3,4,fake
71.1,3,3,3,fake
172.38,11,4,2,fake
172.38,11,4,1,fake
199.0,14,2,4,fake
177.45,10,3,3,fake
98.1,8,2,1,fake
202.98,5,2,2,fake
114.45,14,1,3,fake
158.05,6,4,4,fake
152.1,4,1,3,fake
169.0,14,1,4,fake
169.0,4,3,3,fake
185.9,1,1,4,fake
152.1,5,2,3,fake
99.0,2,3,1,fake
98.1,9,2,3,fake
169.0,3,2,3,fake
169.0,7,1,2,fake
100.98,12,1,4,fake
172.38,9,2,2,fake
111.18,4,1,1,fake
79.0,5,3,2,fake
114.45,5,1,1,fake
169.0,11,4,3,fake
245.05,12,3,4,fake
71.1,12,2,2,fake
100.98,12,4,2,fake
99.0,11,2,3,fake
98.1,7,3,1,fake
185.9,4,1,4,fake
169.0,4,1,1,fake
98.1,8,2,3,fake
152.1,1,1,2,fake
185.9,9,3,3,fake
71.1,2,4,3,fake
169.0,5,2,2,fake
152.1,8,2,4,fake
218.9,13,2,3,fake
99.0,12,1,1,fake
158.05,11,3,1,fake
185.9,12,2,4,fake
98.1,6,4,3,fake
79.0,6,3,1,fake
169.0,9,2,4,fake
158.05,4,4,4,fake
119.9,14,2,2,fake
100.98,4,2,1,fake
245.05,2,2,4,fake
114.45,8,2,3,fake
199.0,3,3,4,fake
152.1,13,3,2,fake
177.45,1,3,2,fake
185.9,4,4,2,fake
79.0,11,1,3,fake
288.55,8,4,3,fake
79.0,13,2,3,fake
179.1,9,3,2,fake
179.1,10,4,2,fake
172.38,1,4,4,fake
199.0,12,2,2,fake
185.9,3,2,2,fake
152.1,3,4,2,fake
179.1,13,2,1,fake
100.98,4,1,4,fake
111.18,8,4,2,fake
103.95,10,1,4,fake
179.1,11,1,1,fake
172.38,9,2,3,fake
177.45,4,1,2,fake
202.98,4,3,2,fake
109.0,12,3,4,fake
169.0,4,4,3,fake
114.45,2,3,4,fake
99.0,14,1,4,fake
100.98,8,4,3,fake
111.18,8,4,1,fake
177.45,8,3,2,fake
169.0,13,4,3,fake
152.1,3,2,3,fake
179.1,13,2,2,fake
185.9,5,4,4,fake
152.1,5,4,1,fake
82.95,8,2,3,fake
172.38,8,3,3,fake
114.45,14,2,4,fake
100.98,1,4,2,fake
169.0,2,1,1,fake
177.45,5,4,1,fake
119.9,8,3,4,fake
177.45,7,1,1,fake
177.45,11,3,1,fake
100.98,4,4,1,fake
177.45,9,4,3,fake
169.0,3,4,4,fake
179.1,2,1,3,fake
89.1,12,1,2,fake
172.38,3,3,4,fake
100.98,13,2,1,fake
218.9,9,3,2,fake
98.1,4,2,2,fake
111.18,2,1,1,fake
86.9,7,1,4,fake
152.1,4,1,2,fake
185.9,1,1,2,fake
152.1,11,1,2,fake
199.0,7,2,4,fake
152.1,2,3,3,fake
218.9,12,4,2,fake
143.55,13,1,3,fake
245.05,7,2,3,fake
71.1,11,1,1,fake
208.95,13,1,3,fake
199.0,5,1,1,fake
177.45,9,1,3,fake
98.1,2,2,4,fake
119.9,14,1,1,fake
103.95,8,2,4,fake
169.0,5,2,2,fake
158.05,14,2,2,fake
152.1,2,4,1,fake
79.0,14,2,1,fake
100.98,12,2,4,fake
288.55,5,4,1,fake
114.55,1,2,2,fake
143.55,13,1,2,fake
82.95,11,1,2,fake
199.0,9,2,2,fake
177.45,6,3,1,fake
185.9,13,3,1,fake
172.38,5,4,2,fake
71.1,3,1,1,fake
82.95,3,1,2,fake
89.1,10,3,4,fake
114.45,11,3,3,fake
111.18,14,2,1,fake
82.95,12,1,2,fake
98.1,5,2,3,fake
152.1,6,2,1,fake
100.98,13,4,2,fake
185.9,1,1,2,fake
169.0,10,1,4,fake
109.0,11,2,3,fake
100.98,3,2,2,fake
109.0,12,3,4,fake
152.1,1,4,3,fake
199.0,4,2,1,fake
177.45,5,1,2,fake
199.0,9,1,4,fake
169.0,1,3,4,fake
169.0,2,2,4,fake
185.9,14,4,2,fake
199.0,5,3,3,fake
245.05,14,4,3,fake
152.1,3,1,4,fake
119.9,3,4,4,fake
89.1,5,3,1,fake
89.1,3,1,2,fake
185.9,4,3,3,fake
108.9,9,3,3,fake
169.0,7,3,3,fake
108.9,11,3,3,fake
89.1,14,3,1,fake
100.98,5,2,1,fake
202.98,5,4,4,fake
169.0,13,2,4,fake
152.1,14,3,4,fake
80.58,9,4,4,fake
80.58,11,3,2,fake
179.1,1,4,1,fake
152.1,13,2,4,fake
202.98,4,2,4,fake
199.0,1,3,3,fake
152.1,3,4,1,fake
114.45,13,2,3,fake
172.38,8,2,2,fake
177.45,6,1,3,fake
169.0,5,2,3,fake
98.1,5,3,2,fake
108.9,4,3,4,fake
185.9,2,2,4,fake
114.55,1,4,4,fake
202.98,14,1,1,fake
288.55,5,2,4,fake
86.9,9,2,4,fake
208.95,6,3,4,fake
202.98,7,4,1,fake
202.98,12,1,2,fake
177.45,13,1,4,fake
172.38,6,2,2,fake
98.1,5,2,2,fake
80.58,9,1,1,fake
82.95,11,1,1,fake
208.95,3,1,2,fake
169.0,6,4,4,fake
98.1,6,2,3,fake
119.9,1,3,1,fake
288.55,7,3,3,fake
98.1,9,3,2,fake
288.55,6,4,1,fake
169.0,13,4,2,fake
119.9,5,4,3,fake
114.45,14,2,3,fake
152.1,1,1,2,fake
80.58,4,1,1,fake
108.9,5,4,2,fake
177.45,6,1,3,fake
152.1,6,1,2,fake
202.98,14,4,1,fake
100.98,7,2,2,fake
99.0,6,4,3,fake
202.98,10,3,1,fake
79.0,11,1,3,fake
82.95,3,4,4,fake
185.9,14,1,1,fake
111.18,4,4,3,fake
169.0,2,3,2,fake
79.0,11,1,3,fake
71.1,10,1,3,fake
208.95,13,1,3,fake
208.95,2,2,3,fake
114.45,7,1,4,fake
169.0,14,1,1,fake
177.45,9,2,4,fake
245.05,12,1,1,fake
152.1,14,4,3,fake
143.55,10,3,1,fake
89.1,5,4,3,fake
177.45,10,2,4,fake
103.95,12,2,1,fake
103.95,5,4,2,fake
79.0,5,1,1,fake
179.1,8,2,1,fake
288.55,6,3,3,fake
199.0,2,2,1,fake
177.45,8,2,3,fake
218.9,13,2,4,fake
169.0,11,2,2,fake
103.95,8,1,1,fake
152.1,12,1,1,fake
152.1,9,1,3,fake
100.98,7,1,4,fake
152.1,7,1,2,fake
152.1,12,3,1,fake
199.0,7,1,3,fake
288.55,11,4,3,fake
185.9,6,2,2,fake
71.1,1,2,1,fake
98.1,3,3,1,fake
108.9,14,4,4,fake
71.1,12,3,3,fake
79.0,4,3,1,fake
169.0,9,1,1,fake
218.9,7,3,3,fake
109.0,6,4,2,fake
169.0,10,2,2,fake
245.05,12,1,1,fake
208.95,12,3,1,fake
172.38,8,3,4,fake
98.1,6,3,1,fake
177.45,2,3,2,fake
185.9,1,1,4,fake
152.1,7,3,2,fake
152.1,9,2,4,fake
98.1,3,1,2,fake
79.0,10,4,1,fake
152.1,14,4,2,fake
169.0,7,3,3,fake
100.98,7,2,1,fake
152.1,12,3,4,fake
169.0,4,2,2,fake
98.1,10,3,4,fake
111.18,2,1,3,fake
185.9,14,4,2,fake
185.9,9,2,4,fake
103.95,14,4,2,fake
169.0,6,2,3,fake
89.1,3,2,1,fake
172.38,6,4,4,fake
109.0,5,4,3,fake
169.0,9,3,3,fake
152.1,4,4,4,fake
89.1,4,4,3,fake
169.0,11,3,3,fake
80.58,13,4,2,fake
143.55,11,4,1,fake
80.58,3,1,1,fake
111.18,4,2,4,fake
82.95,14,3,4,fake
202.98,6,2,1,fake
179.1,8,1,1,fake
119.9,6,4,3,fake
179.1,5,3,4,fake
152.1,11,2,2,fake
179.1,14,3,3,fake
114.55,12,1,1,fake
185.9,14,2,2,fake
109.0,14,2,1,fake
109.0,8,4,3,fake
185.9,1,1,4,fake
98.1,10,1,1,fake
202.98,14,2,2,fake
111.18,5,3,2,fake
177.45,6,3,1,fake
179.1,2,3,4,fake
179.1,4,3,1,fake
152.1,3,4,3,fake
111.18,14,4,2,fake
172.38,5,3,4,fake
158.05,10,2,1,fake
80.58,9,3,1,fake
179.1,3,2,3,fake
179.1,5,4,2,fake
79.0,5,2,1,fake
82.95,13,1,3,fake
179.1,12,4,4,fake
169.0,5,3,1,fake
169.0,14,3,3,fake
100.98,3,3,3,fake
82.95,9,1,4,fake
109.0,6,1,2,fake
99.0,3,2,3,fake
100.98,7,3,1,fake
103.95,14,4,1,fake
98.1,9,2,4,fake
79.0,10,4,3,fake
218.9,13,4,3,fake
199.0,8,4,2,fake
79.0,13,4,1,fake
79.0,7,2,2,fake
169.0,5,4,2,fake
119.9,12,2,2,fake
98.1,3,3,3,fake
80.58,3,4,2,fake
172.38,2,1,1,fake
199.0,13,1,3,fake
199.0,1,4,3,fake
108.9,6,2,3,fake
98.1,9,3,3,fake
114.55,13,2,1,fake
169.0,3,1,2,fake
177.45,14,1,4,fake
71.1,1,2,2,fake
179.1,11,4,2,fake
172.38,2,2,2,fake
103.95,12,3,3,fake
169.0,11,4,1,fake
114.45,2,2,4,fake
109.0,1,2,3,fake
108.9,5,4,1,fake
86.9,3,3,4,fake
169.0,1,4,1,fake
185.9,2,3,1,fake
89.1,11,2,4,fake
202.98,5,2,4,fake
152.1,10,1,3,fake
99.0,4,1,1,fake
177.45,1,3,1,fake
245.05,14,1,2,fake
177.45,5,3,3,fake
71.1,14,1,2,fake
208.95,6,3,3,fake
99.0,1,1,3,fake
152.1,8,4,3,fake
177.45,5,1,3,fake
86.9,3,3,4,fake
119.9,1,2,2,fake
152.1,8,2,4,fake
100.98,14,2,1,fake
109.0,9,1,3,fake
185.9,4,2,3,fake
185.9,12,3,3,fake
79.0,1,3,2,fake
108.9,11,4,3,fake
245.05,13,2,2,fake
86.9,12,3,4,fake
103.95,13,4,2,fake
185.9,11,4,3,fake
245.05,10,2,2,fake
218.9,5,2,3,fake
119.9,8,4,2,fake
179.1,7,2,2,fake
288.55,2,3,1,fake
179.1,3,2,4,fake
143.55,8,4,1,fake
