Total number of voters,Number of voters who received a ballot,Number of voters who took part in the vote,Number of voters who took part in early voting,Number of voters who took part in the vote at the place of residence,Number of voters who took part in the vote on election day,Dmitriev,Konopackaya,Lukashenko,Tsikhanouskaya,Cherechen,Against all,Number of ballots declared invalid,Number of spoiled ballots,Number of unused ballots
1656.0,1329.0,1319,252.0,4.0,1063.0,21.0,16,464,701,16.0,96.0,5.0,1.0,330.0
2646.0,2249.0,2249,707.0,37.0,1505.0,43.0,25,994,948,32.0,194.0,13.0,0.0,421.0
1805.0,1717.0,1714,537.0,42.0,1135.0,32.0,26,1125,395,24.0,97.0,15.0,0.0,163.0
1012.0,914.0,911,303.0,26.0,581.0,21.0,9,393,410,21.0,52.0,4.0,1.0,168.0
1442.0,1190.0,1190,235.0,113.0,842.0,6.0,5,608,500,7.0,64.0,0.0,0.0,310.0
1564.0,1256.0,1256,330.0,89.0,837.0,17.0,25,622,518,21.0,49.0,4.0,1.0,323.0
2217.0,1898.0,1898,320.0,40.0,1538.0,36.0,24,548,1107,36.0,130.0,17.0,0.0,412.0
1407.0,1361.0,1360,409.0,59.0,892.0,19.0,9,761,465,10.0,90.0,6.0,0.0,179.0
1885.0,1870.0,1870,655.0,98.0,1117.0,47.0,33,920,711,37.0,107.0,15.0,3.0,2.0
2020.0,1939.0,1938,291.0,49.0,1598.0,26.0,24,608,1111,38.0,115.0,16.0,1.0,120.0
1370.0,1066.0,1065,319.0,21.0,725.0,21.0,11,472,473,27.0,56.0,5.0,1.0,264.0
1512.0,1482.0,1482,547.0,25.0,910.0,22.0,47,1150,127,21.0,101.0,14.0,1.0,32.0
979.0,944.0,944,363.0,58.0,523.0,15.0,8,708,143,21.0,43.0,6.0,1.0,37.0
1445.0,1329.0,1329,475.0,0.0,854.0,20.0,15,831,376,24.0,58.0,5.0,0.0,226.0
1211.0,1042.0,1042,262.0,39.0,741.0,21.0,17,380,510,18.0,88.0,8.0,1.0,133.0
1500.0,1487.0,1487,485.0,32.0,970.0,28.0,17,793,529,28.0,79.0,13.0,0.0,41.0
1780.0,1731.0,1731,596.0,17.0,1118.0,38.0,20,959,612,30.0,66.0,6.0,3.0,52.0
2145.0,2145.0,2145,835.0,58.0,1252.0,48.0,33,1136,783,34.0,92.0,19.0,1.0,369.0
