elevation,type
29.0,fake
160.0,fake
302.0,fake
270.0,fake
118.0,fake
82.0,fake
1277.0,fake
3415.0,fake
262.0,fake
659.0,fake
3707.0,fake
2171.0,fake
223.0,fake
4941.0,fake
3228.0,fake
85.0,fake
2552.0,fake
1535.0,fake
1168.0,fake
3530.0,fake
676.0,fake
1966.0,fake
623.0,fake
58.0,fake
23.0,fake
748.0,fake
297.0,fake
1003.0,fake
613.0,fake
93.0,fake
777.0,fake
20.0,fake
816.0,fake
1378.0,fake
1367.0,fake
305.0,fake
94.0,fake
1465.0,fake
66.0,fake
115.0,fake
1847.0,fake
1827.0,fake
35.0,fake
46.0,fake
147.0,fake
10.0,fake
1012.0,fake
23.0,fake
1001.0,fake
425.0,fake
1847.0,fake
184.0,fake
489.0,fake
85.0,fake
1587.0,fake
579.0,fake
3872.0,fake
6.0,fake
41.0,fake
730.0,fake
3330.0,fake
3763.0,fake
147.0,fake
101.0,fake
755.0,fake
113.0,fake
21.0,fake
14.0,fake
2192.0,fake
2008.0,fake
778.0,fake
2740.0,fake
3860.0,fake
219.0,fake
2680.0,fake
412.0,fake
177.0,fake
221.0,fake
253.0,fake
0.0,fake
1170.0,fake
280.0,fake
5500.0,fake
80.0,fake
484.0,fake
116.0,fake
951.0,fake
56.0,fake
1278.0,fake
-11.0,fake
4012.0,fake
1.0,fake
5558.0,fake
3347.0,fake
953.0,fake
31.0,fake
1093.0,fake
944.0,fake
2803.0,fake
459.0,fake
2080.0,fake
439.0,fake
8917.0,fake
1587.0,fake
30.0,fake
6375.0,fake
3301.0,fake
53.0,fake
2373.0,fake
2100.0,fake
135.0,fake
5730.0,fake
1470.0,fake
706.0,fake
230.0,fake
12.0,fake
232.0,fake
27.0,fake
436.0,fake
1247.0,fake
75.0,fake
1516.0,fake
3394.0,fake
5479.0,fake
126.0,fake
3245.0,fake
26.0,fake
1750.0,fake
5072.0,fake
55.0,fake
509.0,fake
180.0,fake
300.0,fake
20.0,fake
2546.0,fake
44.0,fake
869.0,fake
322.0,fake
337.0,fake
4849.0,fake
1133.0,fake
1042.0,fake
2641.0,fake
70.0,fake
1365.0,fake
646.0,fake
5.0,fake
846.0,fake
3635.0,fake
98.0,fake
997.0,fake
70.0,fake
102.0,fake
1099.0,fake
5700.0,fake
2960.0,fake
831.0,fake
200.0,fake
52.0,fake
105.0,fake
67.0,fake
59.0,fake
3911.0,fake
3143.0,fake
34.0,fake
598.0,fake
172.0,fake
1260.0,fake
1854.0,fake
1009.0,fake
1520.0,fake
118.0,fake
1805.0,fake
29.0,fake
600.0,fake
606.0,fake
840.0,fake
40.0,fake
3026.0,fake
100.0,fake
277.0,fake
258.0,fake
4550.0,fake
283.0,fake
10.0,fake
2487.0,fake
1434.0,fake
75.0,fake
1027.0,fake
56.0,fake
866.0,fake
410.0,fake
7200.0,fake
445.0,fake
10.0,fake
592.0,fake
548.0,fake
31.0,fake
160.0,fake
225.0,fake
1217.0,fake
74.0,fake
251.0,fake
886.0,fake
6.0,fake
19.0,fake
24.0,fake
29.0,fake
1296.0,fake
1679.0,fake
50.0,fake
523.0,fake
76.0,fake
1224.0,fake
1447.0,fake
10.0,fake
2157.0,fake
6375.0,fake
1020.0,fake
70.0,fake
994.0,fake
302.0,fake
92.0,fake
1060.0,fake
148.0,fake
281.0,fake
1068.0,fake
788.0,fake
412.0,fake
423.0,fake
279.0,fake
100.0,fake
4198.0,fake
184.0,fake
19.0,fake
180.0,fake
20.0,fake
9.0,fake
151.0,fake
21.0,fake
52.0,fake
0.0,fake
78.0,fake
51.0,fake
4520.0,fake
40.0,fake
72.0,fake
461.0,fake
59.0,fake
1201.0,fake
1545.0,fake
5355.0,fake
7.0,fake
2351.0,fake
99.0,fake
627.0,fake
526.0,fake
2691.0,fake
924.0,fake
1998.0,fake
3671.0,fake
4636.0,fake
85.0,fake
745.0,fake
10.0,fake
0.0,fake
477.0,fake
70.0,fake
295.0,fake
398.0,fake
2631.0,fake
1258.0,fake
20.0,fake
1503.0,fake
832.0,fake
636.0,fake
1320.0,fake
10.0,fake
1370.0,fake
1771.0,fake
1378.0,fake
180.0,fake
283.0,fake
86.0,fake
2.0,fake
1446.0,fake
2221.0,fake
0.0,fake
252.0,fake
131.0,fake
45.0,fake
4812.0,fake
930.0,fake
2157.0,fake
95.0,fake
213.0,fake
981.0,fake
13.0,fake
513.0,fake
643.0,fake
492.0,fake
20.0,fake
9927.0,fake
59.0,fake
68.0,fake
212.0,fake
60.0,fake
139.0,fake
1624.0,fake
700.0,fake
3877.0,fake
11713.0,fake
183.0,fake
4493.0,fake
26.0,fake
463.0,fake
1926.0,fake
462.0,fake
25.0,fake
47.0,fake
258.0,fake
1157.0,fake
780.0,fake
6941.0,fake
249.0,fake
63.0,fake
1886.0,fake
965.0,fake
30.0,fake
7990.0,fake
75.0,fake
8.0,fake
475.0,fake
69.0,fake
761.0,fake
700.0,fake
7.0,fake
378.0,fake
12.0,fake
499.0,fake
251.0,fake
930.0,fake
263.0,fake
488.0,fake
311.0,fake
287.0,fake
159.0,fake
145.0,fake
164.0,fake
70.0,fake
78.0,fake
1646.0,fake
63.0,fake
1333.0,fake
414.0,fake
12.0,fake
4349.0,fake
276.0,fake
240.0,fake
1646.0,fake
17.0,fake
30.0,fake
24.0,fake
552.0,fake
297.0,fake
100.0,fake
