Fish_ID,Event_ID,Taxon_ID,Number,Min,Max,AvgLgth,Area,Comments
20100121181630-216733515.262604,20100121181630-533424019.813538,20180301132624-56236863.1362915,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100121181630-300970494.747162,20090720144120-984649658.203125,20180301132624-56236863.1362915,1,22,22,22,100,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100121181630-344180822.372437,20090720145227-59677302.8373718,20180301132624-56236863.1362915,3,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100121181630-647821187.973022,20090720142848-938545167.446136,20180301132624-56236863.1362915,1,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100121181630-721895098.686218,20090720143748-152676820.755005,20180301132624-56236863.1362915,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100121181630-89641392.2309875,20090720144542-318967700.004578,20180301132624-56236863.1362915,1,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100121181630-97973823.5473633,20100121181630-705547511.577606,20180301132624-56236863.1362915,1,11,11,11,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100309112853-109738528.728485,20100309112853-414032697.677612,20180301132624-56236863.1362915,3,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100309112853-243310689.926147,20100309112853-45352756.9770813,20180301132624-56236863.1362915,5,13,14,14,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100309112853-345335066.318512,20100309112853-862619340.419769,20180301132624-56236863.1362915,5,13,14,14,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100309112853-581502735.614777,20100309112853-56236863.1362915,20180301132624-56236863.1362915,2,16,16,16,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100309112853-700514316.558838,20100302215920-48118889.3318176,20180301132624-56236863.1362915,1,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100309112853-781006574.630737,20100309112853-53504526.6151428,20180301132624-56236863.1362915,4,13,18,16,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100309112853-814663946.628571,20100302223616-509116470.813751,20180301132624-56236863.1362915,1,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100309112853-841427624.225616,20100309112853-790480017.662048,20180301132624-56236863.1362915,3,12,14,13,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20100309112854-721003949.642181,20100309112853-814490020.275116,20180301132624-56236863.1362915,8,13,14,14,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-114332795.143127,20130328152548-961953163.146973,20180301132624-56236863.1362915,2,20,20,20,100,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-162821590.900421,20130328152548-790480017.662048,20180301132624-56236863.1362915,1,14,14,14,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-164234161.376953,20130328152548-56236863.1362915,20180301132624-56236863.1362915,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-18808901.309967,20130328152548-790480017.662048,20180301132624-56236863.1362915,3,11,11,11,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-22629201.4122009,20130328152548-961953163.146973,20180301132624-56236863.1362915,1,19,19,19,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-368056058.883667,20130328152548-871445834.636688,20180301132624-56236863.1362915,2,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-430261135.101318,20130328152548-961953163.146973,20180301132624-56236863.1362915,1,18,18,18,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-441114664.077759,20130328152548-871445834.636688,20180301132624-56236863.1362915,1,11,11,11,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-493358433.246613,20130328152548-790480017.662048,20180301132624-56236863.1362915,5,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-502453923.225403,20130328152548-961953163.146973,20180301132624-56236863.1362915,1,19,19,19,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-53504526.6151428,20130328152548-414032697.677612,20180301132624-56236863.1362915,1,16,16,16,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-543360590.934753,20130328152548-961953163.146973,20180301132624-56236863.1362915,1,22,22,22,100,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-598856389.522552,20130328152548-45352756.9770813,20180301132624-56236863.1362915,2,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-64491152.7633667,20130328152548-871445834.636688,20180301132624-56236863.1362915,1,9,9,9,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-652376711.368561,20130328152548-373536169.528961,20180301132624-56236863.1362915,2,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-676175892.353058,20130328152548-709037899.971008,20180301132624-56236863.1362915,1,14,14,14,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-677947700.023651,20130328152548-961953163.146973,20180301132624-56236863.1362915,1,16,16,16,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-692994534.96933,20130328152548-871445834.636688,20180301132624-56236863.1362915,1,13,13,13,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-730833590.03067,20130328152548-871445834.636688,20180301132624-56236863.1362915,3,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-756092607.975006,20130328152548-871445834.636688,20180301132624-56236863.1362915,1,11,11,11,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-767111659.049988,20130328152548-414032697.677612,20180301132624-56236863.1362915,1,14,14,14,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-772883296.012878,20130328152548-790480017.662048,20180301132624-56236863.1362915,4,10,10,10,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-834817171.096802,20130328152548-961953163.146973,20180301132624-56236863.1362915,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-913717567.920685,20130328152548-961953163.146973,20180301132624-56236863.1362915,1,16,16,16,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-916163980.960846,20130328152548-961953163.146973,20180301132624-56236863.1362915,1,23,23,23,100,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328152548-999414563.179016,20130328152548-709037899.971008,20180301132624-56236863.1362915,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-113737404.346466,20130328153424-607955217.36145,20180301132624-56236863.1362915,2,6,6,6,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-138200759.887695,20130328153424-271023929.11911,20180301132624-56236863.1362915,5,9,9,9,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-163306951.522827,20130328153424-528946757.316589,20180301132624-56236863.1362915,1,4,4,4,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-216884911.060333,20130328153424-363182246.685028,20180301132624-56236863.1362915,1,6,6,6,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-226898729.801178,20130328153424-756076574.325562,20180301132624-56236863.1362915,2,8,8,8,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-228493928.909302,20130328153424-710018873.214722,20180301132624-56236863.1362915,8,9,9,9,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-253680825.233459,20130328153424-631080865.859985,20180301132624-56236863.1362915,1,9,9,9,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-278479039.669037,20130328153424-363182246.685028,20180301132624-56236863.1362915,1,9,9,9,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-286616623.401642,20130328153424-918389856.815338,20180301132624-56236863.1362915,1,12,12,12,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
20130328153424-309663772.583008,20130328153424-58765530.5862427,20180301132624-56236863.1362915,1,11,11,11,50,"Original detected species name was Ctenochaetus strigosus, but due to confusion as whether it should be C. striatus or C. cyanocheilus, both of which are found in Guam, will ID to just genus."
